StateCode,Altitude,Latitude,Longitude,UsgsGaugeId,Name
ME,885,46.89388889,-69.7516667,01010070,"Big Black River near Depot Mtn, Maine"
ME,604.6,47.0697222,-69.0794444,01011000,"Allagash River near Allagash, Maine"
ME,550,47.20697926,-68.9564281,01011500,"St. Francis River near Connors, New Brunswick"
ME,505,47.2833333,-68.58527778,01014000,"St. John River below Fish R, nr Fort Kent, Maine"
ME,436.4,46.7772222,-68.1572222,01017000,"Aroostook River at Washburn, Maine"
ME,367.2,45.5683333,-67.4283333,01018500,"St. Croix River at Vanceboro, Maine"
ME,273.56,45.1725,-67.76888889,01019000,"Grand Lake Stream at Grand Lake Stream, Maine"
ME,170,44.9369444,-67.7361111,01021480,"Old Stream near Wesley, Maine"
ME,44.2,44.60805556,-67.93527778,01022500,"Narraguagus River at Cherryfield, Maine"
ME,512,46.14305556,-68.6336111,01029200,"Seboeis River near Shin Pond, Maine"
ME,294.74,45.73027778,-68.5894444,01029500,"East Branch Penobscot River at Grindstone, Maine"
ME,217,45.5011111,-68.3058333,01030500,"Mattawamkeag River near Mattawamkeag, Maine"
ME,564.09,45.2672222,-69.58388889,01031300,"Piscataquis River at Blanchard, Maine"
ME,423,45.1844444,-69.4522222,01031450,"Kingsbury Stream at Abbot Village, Maine"
ME,248.68,45.26055556,-68.8686111,01034000,"Piscataquis River at Medford, Maine"
ME,125.94,45.2361111,-68.65138889,01034500,"Penobscot River at West Enfield, Maine"
ME,69.14,44.8611111,-68.8316667,01037000,"Kenduskeag Stream near Bangor, Maine"
ME,135,44.32916667,-69.0608333,01037380,"Ducktrap River near Lincolnville, Maine"
ME,101.05,44.22277778,-69.59388889,01038000,"Sheepscot River at North Whitefield, Maine"
ME,569.03,45.3397222,-69.9619444,01042500,"Kennebec River at The Forks, Maine"
ME,1037.32,45.22905,-70.20112778,01043500,"Dead River near Dead River, Maine"
ME,1020,45.3136111,-70.2416667,01044550,"Spencer Stream near Grand Falls, Maine"
ME,303.3,44.86916667,-69.955,01047000,"Carrabassett River near North Anson, Maine"
