"UsgsGaugeId","Name","StateCode","Latitude","Longitude","Altitude","DefaultZoneOffset","DefaultZoneAbbrev","DSTZoneOffset","DSTZoneAbbrev","ZoneUsesDST"
"01010070","Big Black River near Depot Mtn, Maine",ME,46.8938888900000000,-69.7516667000000000,885.0000000000000000,-05:00,EST,-04:00,EDT,1
"01011000","Allagash River near Allagash, Maine",ME,47.0697222000000000,-69.0794444000000000,604.6000000000000000,-05:00,EST,-04:00,EDT,1
"01011500","St. Francis River near Connors, New Brunswick",ME,47.2069792600000000,-68.9564281000000000,550.0000000000000000,-05:00,EST,-04:00,EDT,1
"01014000","St. John River below Fish R, nr Fort Kent, Maine",ME,47.2833333000000000,-68.5852777800000000,505.0000000000000000,-05:00,EST,-04:00,EDT,1
"01017000","Aroostook River at Washburn, Maine",ME,46.7772222000000000,-68.1572222000000000,436.4000000000000000,-05:00,EST,-04:00,EDT,1
"01018500","St. Croix River at Vanceboro, Maine",ME,45.5683333000000000,-67.4283333000000000,367.2000000000000000,-05:00,EST,-04:00,EDT,1
"01019000","Grand Lake Stream at Grand Lake Stream, Maine",ME,45.1725000000000000,-67.7688888900000000,273.5600000000000000,-05:00,EST,-04:00,EDT,1
"01021480","Old Stream near Wesley, Maine",ME,44.9369444000000000,-67.7361111000000000,170.0000000000000000,-05:00,EST,-04:00,EDT,1
"01022500","Narraguagus River at Cherryfield, Maine",ME,44.6080555600000000,-67.9352777800000000,44.2000000000000000,-05:00,EST,-04:00,EDT,1
"01029200","Seboeis River near Shin Pond, Maine",ME,46.1430555600000000,-68.6336111000000000,512.0000000000000000,-05:00,EST,-04:00,EDT,1
"01029500","East Branch Penobscot River at Grindstone, Maine",ME,45.7302777800000000,-68.5894444000000000,294.7400000000000000,-05:00,EST,-04:00,EDT,1
"01030500","Mattawamkeag River near Mattawamkeag, Maine",ME,45.5011111000000000,-68.3058333000000000,217.0000000000000000,-05:00,EST,-04:00,EDT,1
"01031300","Piscataquis River at Blanchard, Maine",ME,45.2672222000000000,-69.5838888900000000,564.0900000000000000,-05:00,EST,-04:00,EDT,1
"01031450","Kingsbury Stream at Abbot Village, Maine",ME,45.1844444000000000,-69.4522222000000000,423.0000000000000000,-05:00,EST,-04:00,EDT,1
"01034000","Piscataquis River at Medford, Maine",ME,45.2605555600000000,-68.8686111000000000,248.6800000000000000,-05:00,EST,-04:00,EDT,1
"01034500","Penobscot River at West Enfield, Maine",ME,45.2361111000000000,-68.6513888900000000,125.9400000000000000,-05:00,EST,-04:00,EDT,1
"01037000","Kenduskeag Stream near Bangor, Maine",ME,44.8611111000000000,-68.8316667000000000,69.1400000000000000,-05:00,EST,-04:00,EDT,1
"01037380","Ducktrap River near Lincolnville, Maine",ME,44.3291666700000000,-69.0608333000000000,135.0000000000000000,-05:00,EST,-04:00,EDT,1
"01038000","Sheepscot River at North Whitefield, Maine",ME,44.2227777800000000,-69.5938888900000000,101.0500000000000000,-05:00,EST,-04:00,EDT,1
"01042500","Kennebec River at The Forks, Maine",ME,45.3397222000000000,-69.9619444000000000,569.0300000000000000,-05:00,EST,-04:00,EDT,1
"01043500","Dead River near Dead River, Maine",ME,45.2290500000000000,-70.2011277800000000,"1037.3200000000000000",-05:00,EST,-04:00,EDT,1
"01044550","Spencer Stream near Grand Falls, Maine",ME,45.3136111000000000,-70.2416667000000000,"1020.0000000000000000",-05:00,EST,-04:00,EDT,1
"01047000","Carrabassett River near North Anson, Maine",ME,44.8691666700000000,-69.9550000000000000,303.3000000000000000,-05:00,EST,-04:00,EDT,1
"01047200","Sandy River near Madrid, Maine",ME,44.8577777800000000,-70.4852777800000000,930.0000000000000000,-05:00,EST,-04:00,EDT,1
"01048000","Sandy River near Mercer, Maine",ME,44.7080555600000000,-69.9375000000000000,197.1000000000000000,-05:00,EST,-04:00,EDT,1
"01049500","Cobbosseecontee Stream at Gardiner, Maine",ME,44.2291666700000000,-69.7780556000000000,20.0000000000000000,-05:00,EST,-04:00,EDT,1
"01052500","Diamond River near Wentworth Location, NH",NH,44.8775000000000000,-71.0575000000000000,"1259.4800000000000000",-05:00,EST,-04:00,EDT,1
"01053500","Androscoggin River at Errol, NH",NH,44.7825000000000000,-71.1286111000000000,"1227.3000000000000000",-05:00,EST,-04:00,EDT,1
"01054200","Wild River at Gilead, Maine",ME,44.3905555600000000,-70.9797222000000000,683.1000000000000000,-05:00,EST,-04:00,EDT,1
"01055000","Swift River near Roxbury, Maine",ME,44.6427777800000000,-70.5888888900000000,615.6700000000000000,-05:00,EST,-04:00,EDT,1
"01057000","Little Androscoggin River near South Paris, Maine",ME,44.3038888900000000,-70.5397222000000000,447.0000000000000000,-05:00,EST,-04:00,EDT,1
"01059000","Androscoggin River near Auburn, Maine",ME,44.0722222000000000,-70.2080556000000000,109.1800000000000000,-05:00,EST,-04:00,EDT,1
"01064118","Presumpscot River at Westbrook, Maine",ME,43.6869444400000000,-70.3472222000000000,13.4200000000000000,-05:00,EST,-04:00,EDT,1
"01064500","Saco River near Conway, NH",NH,43.9908333000000000,-71.0905556000000000,418.1900000000000000,-05:00,EST,-04:00,EDT,1
"01064801","BEARCAMP RIVER AT SOUTH TAMWORTH, NH",NH,43.8300739600000000,-71.2878488000000000,493.3700000000000000,-05:00,EST,-04:00,EDT,1
"01066000","Saco River at Cornish, Maine",ME,43.8080555600000000,-70.7816667000000000,263.4800000000000000,-05:00,EST,-04:00,EDT,1
"01069500","Mousam River near West Kennebunk, Maine",ME,43.4183333000000000,-70.6583333000000000,165.7500000000000000,-05:00,EST,-04:00,EDT,1
"01072800","COCHECO RIVER NEAR ROCHESTER, NH.",NH,43.2684152700000000,-70.9736739000000000,118.7700000000000000,-05:00,EST,-04:00,EDT,1
"01072870","ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH",NH,43.2348048700000000,-70.9564507000000000,115.0000000000000000,-05:00,EST,-04:00,EDT,1
"01073500","LAMPREY RIVER NEAR NEWMARKET, NH",NH,43.1025855800000000,-70.9525590000000000,38.2800000000000000,-05:00,EST,-04:00,EDT,1
"01074520","EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH",NH,44.0475669000000000,-71.6598029000000000,821.0300000000000000,-05:00,EST,-04:00,EDT,1
"01075000","PEMIGEWASSET RIVER AT WOODSTOCK, NH",NH,43.9761792000000000,-71.6795244000000000,616.4400000000000000,-05:00,EST,-04:00,EDT,1
"01076000","BAKER RIVER NEAR RUMNEY, NH",NH,43.7956264700000000,-71.8453594000000000,497.3400000000000000,-05:00,EST,-04:00,EDT,1
"01076500","PEMIGEWASSET RIVER AT PLYMOUTH, NH",NH,43.7592388000000000,-71.6856337000000000,457.0700000000000000,-05:00,EST,-04:00,EDT,1
"01077400","COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH",NH,43.7038888900000000,-71.8333333000000000,608.4200000000000000,-05:00,EST,-04:00,EDT,1
"01078000","SMITH RIVER NEAR BRISTOL, NH",NH,43.5664630700000000,-71.7478570000000000,449.8000000000000000,-05:00,EST,-04:00,EDT,1
"01081000","WINNIPESAUKEE RIVER AT TILTON, NH",NH,43.4417437600000000,-71.5875752000000000,441.8700000000000000,-05:00,EST,-04:00,EDT,1
"01081500","MERRIMACK RIVER AT FRANKLIN JUNCTION, NH",NH,43.4228545600000000,-71.6528543000000000,251.0800000000000000,-05:00,EST,-04:00,EDT,1
"01082000","CONTOOCOOK RIVER AT PETERBOROUGH, NH",NH,42.8625837000000000,-71.9592460900000000,731.9700000000000000,-05:00,EST,-04:00,EDT,1
"01085000","CONTOOCOOK RIVER NEAR HENNIKER, NH",NH,43.1520237000000000,-71.8573014900000000,470.3200000000000000,-05:00,EST,-04:00,EDT,1
"01086000","WARNER RIVER AT DAVISVILLE, NH",NH,43.2509115900000000,-71.7322996000000000,379.9600000000000000,-05:00,EST,-04:00,EDT,1
